city,name,latitude,longitude,address,rating,user_ratings_total
Bursa,Karagoz Museum,40.2018255,29.0273799,"Çekirge, Çekirge Cd. No:159, 16265 Osmangazi̇/Bursa, Türkiye",4.5,2056
Bursa,Heykel,40.182618,29.0668989,"Hocaalizade, Atatürk Cd., 16001 Osmangazi̇/Bursa, Türkiye",4.6,4198
Bursa,Han Brass,40.185713,29.0602839,"Şehreküstü, Altıparmak Cumhuriyet Cad, Bilecik Sokak No:31, 16050 Osmangazi̇/Bursa, Türkiye",4.2,5738
Bursa,Kestel Castle,40.2016691,29.2155018,"Kale, Narlık Cd. No:25, 16450 Kestel/Bursa, Türkiye",3.9,1065
Bursa,Küreklidere Falls,40.1532135,29.2030459,"Hamamlıkızık, 16370 Yıldırım/Bursa, Türkiye",4.3,1400
Bursa,Cumalikizik Village (UNESCO),40.1760661,29.1722094,"Cumalıkızık, 16370 Yıldırım/Bursa, Türkiye",4.4,1146
Bursa,Orhan Gazi Mosque,40.1838134,29.064025,"Nalbantoğlu, Uzunçarşı Cd. No:59 D:79, 16010 Osmangazi̇/Bursa, Türkiye",4.8,1002
Bursa,Viewpoint,40.1650532,29.1204301,"75. Yıl, 548C+25, 16310 Yıldırım/Bursa, Türkiye",4.9,11
Bursa,Temenyeri Park,40.1768952,29.0652509,"Karaağaç, Eşrefiler Sk. No:34, 16360 Yıldırım/Bursa, Türkiye",4.4,2319
Bursa,Inkaya historical plane tree 610 tree old,40.182361,29.016759,"İnkaya, Uludağ Cd. No:195, 16375 Osmangazi̇/Bursa, Türkiye",4.1,20
Bursa,Bursa,40.1720742,29.0834917,"Piremir, Teleferik, 16340 Yıldırım/Bursa, Türkiye",4.2,5
Istanbul,Topkapi Palace Museum,41.0115195,28.98337889999999,"Cankurtaran, 34122 Fatih/İstanbul, Türkiye",4.7,97907
Istanbul,Basilica Cistern,41.008359,28.9778409,"Alemdar, Yerebatan Cd. 1/3, 34110 Fatih/İstanbul, Türkiye",4.6,71977
Istanbul,Dolmabahçe Palace,41.0391643,29.0004594,"Vişnezade, Dolmabahçe Cd., 34357 Beşiktaş/İstanbul, Türkiye",4.7,78228
Istanbul,The Blue Mosque,41.0054096,28.9768138,"Binbirdirek, At Meydanı Cd No:10, 34122 Fatih/İstanbul, Türkiye",4.7,95936
Istanbul,Hagia Sophia Grand Mosque,41.008583,28.980175,"Sultan Ahmet, Ayasofya Meydanı No:1, 34122 Fatih/İstanbul, Türkiye",4.8,129725
Istanbul,Galata Tower,41.025569,28.9741286,"Bereketzade, 34421 Beyoğlu/İstanbul, Türkiye",4.7,173075
Istanbul,Dolmabahçe Palace,41.0382471,28.9970406,"Vişnezade, Dolmabahçe Cd. No:2, 34357 Beşiktaş/İstanbul, Türkiye",4.8,5405
Istanbul,Grand Bazaar,41.0106848,28.9680681,"Beyazıt, 34126 Fatih/İstanbul, Türkiye",4.4,150816
Istanbul,Beylerbeyi Palace,41.042501,29.0400503,"Beylerbeyi, Abdullahağa Cd., 34676 Üsküdar/İstanbul, Türkiye",4.7,15401
Istanbul,Istanbul Archaeological Museums,41.0116855,28.9813305,"Cankurtaran, 34122 Fatih/İstanbul, Türkiye",4.6,18022
Istanbul,Sultanahmet Square,41.0063286,28.9757051,"Binbirdirek, Sultan Ahmet Parkı No:2, 34122 Fatih/İstanbul, Türkiye",4.7,31679
Istanbul,Egyptian Bazaar,41.01650009999999,28.9705194,"Rüstem Paşa, 34116 Fatih/İstanbul, Türkiye",4.5,169182
Istanbul,Suleymaniye Mosque,41.016047,28.9639711,"Süleymaniye, Prof. Sıddık Sami Onar Cd. No:1, 34116 Fatih/İstanbul, Türkiye",4.9,53369
Istanbul,Gülhane Park,41.0133079,28.9815101,"Cankurtaran, Kennedy Cad., 34122 Fatih/İstanbul, Türkiye",4.7,61408
Istanbul,Kariye Mosque,41.031205,28.93918829999999,"Derviş Ali, Kariye Cami Sk. No:18, 34087 Fatih/İstanbul, Türkiye",4.4,6908
Istanbul,Bosfor İstanbul,41.0472703,29.0276719,"Ortaköy, Mecidiye Köprüsü Sk. No:1, 34347 Beşiktaş/İstanbul, Türkiye",4.8,265
Istanbul,Galata Bridge,41.02001550000001,28.9732201,"Kemankeş Karamustafa Paşa, Galata Köprüsü, 34425 Beyoğlu/İstanbul, Türkiye",4.6,33623
Istanbul,Dolmabahçe Clock Tower,41.0376927,28.9963223,"Vişnezade, Meclis-i Mebusan Cd. 38 A, 34357 Beşiktaş/İstanbul, Türkiye",4.7,7149
Istanbul,Beyazit Square,41.010462,28.963896,"Beyazıt, Ordu Cd., 34126 Fatih/İstanbul, Türkiye",4.5,25191
